0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:33:02 +0600] "GET /Ebook-App/order.jsp HTTP/1.1" 200 4558
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:33:04 +0600] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 6925
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:33:15 +0600] "GET /Ebook-App/remove_book?bid=2&&uid=7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:33:15 +0600] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 6760
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:33:22 +0600] "POST /Ebook-App/order HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:33:22 +0600] "GET /Ebook-App/order_success.jsp HTTP/1.1" 200 4027
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:33:24 +0600] "GET /Ebook-App/order.jsp HTTP/1.1" 200 4760
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:33:50 +0600] "GET /Ebook-App/index.jsp HTTP/1.1" 200 9856
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:35:20 +0600] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:35:20 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4700
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:35:31 +0600] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:35:31 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4704
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:36:01 +0600] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:36:01 +0600] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 6045
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:36:01 +0600] "GET /Ebook-App/admin/style.css HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [29/Jan/2023:10:12:17 +0600] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:10:12:17 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [29/Jan/2023:10:12:25 +0600] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:10:12:25 +0600] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 6045
0:0:0:0:0:0:0:1 - - [29/Jan/2023:10:12:31 +0600] "GET /Ebook-App/admin/orders.jsp HTTP/1.1" 200 5861
0:0:0:0:0:0:0:1 - - [29/Jan/2023:10:16:16 +0600] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 6565
0:0:0:0:0:0:0:1 - - [29/Jan/2023:10:16:35 +0600] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:10:16:35 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4700
0:0:0:0:0:0:0:1 - - [29/Jan/2023:10:17:26 +0600] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:10:17:26 +0600] "GET /Ebook-App/index.jsp HTTP/1.1" 200 9856
